major,total_grads,employed,starting_median,mid_sal_median,mid_sal_lower,mid_sal_upper
CHEMICAL ENGINEERING,32260,25694,"$63,200.00 ","$107,000.00 ","$71,900.00 ","$194,000.00 "
MECHANICAL ENGINEERING,91227,76442,"$57,900.00 ","$93,600.00 ","$63,700.00 ","$163,000.00 "
ELECTRICAL ENGINEERING,81527,61928,"$60,900.00 ","$103,000.00 ","$69,300.00 ","$168,000.00 "
COMPUTER ENGINEERING,41542,32506,"$61,400.00 ","$105,000.00 ","$66,100.00 ","$162,000.00 "
AEROSPACE ENGINEERING,15058,11391,"$57,700.00 ","$101,000.00 ","$64,300.00 ","$161,000.00 "
COMPUTER SCIENCE,128319,102087,"$55,900.00 ","$95,500.00 ","$56,000.00 ","$154,000.00 "
CIVIL ENGINEERING,53153,43041,"$53,900.00 ","$90,500.00 ","$63,400.00 ","$148,000.00 "
NURSING,209394,180903,"$54,200.00 ","$67,000.00 ","$47,600.00 ","$98,300.00 "
FINANCE,174506,145696,"$47,900.00 ","$88,300.00 ","$47,200.00 ","$195,000.00 "
ECONOMICS,139247,104117,"$50,100.00 ","$98,600.00 ","$50,600.00 ","$210,000.00 "
ACCOUNTING,198633,165527,"$46,000.00 ","$77,100.00 ","$42,200.00 ","$152,000.00 "
PHYSICS,32142,25302,"$50,300.00 ","$97,300.00 ","$56,000.00 ","$178,000.00 "
INTERNATIONAL RELATIONS,28187,21190,"$40,900.00 ","$80,900.00 ","$38,200.00 ","$157,000.00 "
ARCHITECTURE,46420,34158,"$41,600.00 ","$76,800.00 ","$50,600.00 ","$136,000.00 "
CHEMISTRY,66530,48535,"$42,600.00 ","$79,900.00 ","$45,300.00 ","$148,000.00 "
GEOGRAPHY,18480,14057,"$41,200.00 ","$65,500.00 ","$40,000.00 ","$132,000.00 "
COMMUNICATIONS,213996,179633,"$38,100.00 ","$70,000.00 ","$37,500.00 ","$143,000.00 "
JOURNALISM,72619,61022,"$35,600.00 ","$66,700.00 ","$38,400.00 ","$145,000.00 "
FORESTRY,3607,3007,"$39,100.00 ","$62,600.00 ","$41,000.00 ","$111,000.00 "
HISTORY,141951,105646,"$39,200.00 ","$71,000.00 ","$37,000.00 ","$149,000.00 "
BIOLOGY,280709,182295,"$38,800.00 ","$64,800.00 ","$36,900.00 ","$135,000.00 "
SOCIOLOGY,115433,92721,"$36,500.00 ","$58,200.00 ","$30,700.00 ","$118,000.00 "
PSYCHOLOGY,393735,307933,"$35,900.00 ","$60,400.00 ","$31,600.00 ","$127,000.00 "
MUSIC,60633,47662,"$35,900.00 ","$55,000.00 ","$26,700.00 ","$134,000.00 "
